raw_name,source_field,status,type,count,examples,suggested_action
Bedouin Rebels,Loser,unmapped,unknown,1,Museifre1925,add_actor_normalization
Belarussan Cossacks,Winner,unmapped,unknown,1,Szczara1920,add_actor_normalization
Bengali Rebels,Loser,unmapped,unknown,1,Dacca1971,add_actor_normalization
Benin,Winner,unmapped,unknown,1,Ugbine1897,add_actor_normalization
Berber Tribesmen,Loser,unmapped,unknown,1,Sidi Sliman1915,add_actor_normalization
Biafran Rebels,Participant 1,mapped_internal,rebel_group,1,Abagana1968,check_internal_mapping
Bosnia and Hercegovina,Participant 1,unmapped,unknown,1,Mostar1994,add_actor_normalization
Bosnia and Hercegovina,Loser,unmapped,unknown,1,Srebrenica1993,add_actor_normalization
Bosnia and Hercegovina; Croatian Republic of Herzeg-Bosnia,Loser,unmapped,unknown,1,Bosanska Posavina1992,add_actor_normalization
Bosnia-Hercegovina,Winner,unmapped,unknown,1,Gornji Vakuf1993,add_actor_normalization
Bosnia-Hercegovina,Loser,unmapped,unknown,1,Jajce1992,add_actor_normalization
Bosnia-Hercegovnia,Winner,unmapped,unknown,1,Bihac1992,add_actor_normalization
Brazil,Loser,unmapped,unknown,1,Canudos1896,add_actor_normalization
Brunei,Winner,unmapped,unknown,1,Brunei1962,add_actor_normalization
Buryats,Loser,unmapped,unknown,1,Kiatkha1921,add_actor_normalization
Cambodian Rebels,Winner,unmapped,unknown,1,Phnom Penh1979,add_actor_normalization
Cambodian Royalists,Loser,unmapped,unknown,1,Phnom Penh1975,add_actor_normalization
Canudos,Winner,unmapped,unknown,1,Canudos1896,add_actor_normalization
Canudos,Loser,unmapped,unknown,1,Canudos1897,add_actor_normalization
Castro Forces,Loser,unmapped,unknown,1,Alegria del Pio1956,add_actor_normalization
Castro Supporters,Winner,unmapped,unknown,1,El Uvero1957,add_actor_normalization
Chadian Government,Loser,mapped_internal,faction,1,N'Djamena1979,check_internal_mapping
Chadian Muslims,Winner,unmapped,unknown,1,Niellim1899,add_actor_normalization
Chadian Rebels,Participant 2,mapped_internal,rebel_group,1,Abeche1983,check_internal_mapping
Chilean Congress,Loser,unmapped,unknown,1,Caldera Bay1891,add_actor_normalization
Chilean Congressist,Winner,unmapped,unknown,1,Placilla1891,add_actor_normalization
Chilean Congressists,Loser,unmapped,unknown,1,Huara1891,add_actor_normalization
Chilean Presidency,Winner,unmapped,unknown,1,Caldera Bay1891,add_actor_normalization
Chilean Presidentialists,Winner,mapped_internal,faction,1,Huara1891,check_internal_mapping
Chinese Boxer Rebels,Winner,unmapped,unknown,1,Beicang1900,add_actor_normalization
Chinese Communists,Participant 1,mapped_internal,faction,1,Kaifeng1948,check_internal_mapping
Chinese Nationalists,Participant 2,mapped_internal,faction,1,Kaifeng1948,check_internal_mapping
Chinese Rebels,Loser,unmapped,unknown,1,Hankou1911,add_actor_normalization
Chinese Republican Rebels,Loser,unmapped,unknown,1,Hanyang1911,add_actor_normalization
Chitrali Rebels,Winner,unmapped,unknown,1,Panjkora1895,add_actor_normalization
Chitrali Tribes,Loser,unmapped,unknown,1,Nisa Col1895,add_actor_normalization
Civilians,Participant 2,unmapped,unknown,1,"Santa Isabel, Sonora1916",add_actor_normalization
Colombian Liberal Rebels,Loser,unmapped,unknown,1,Palonegro1900,add_actor_normalization
Colombian Liberal Rebels,Winner,unmapped,unknown,1,Peralonso1899,add_actor_normalization
Congo,Winner,unmapped,unknown,1,Stanleyville1964,add_actor_normalization
Congolese Leftists,Loser,unmapped,unknown,1,Stanleyville1964,add_actor_normalization
Congressists,Winner,unmapped,unknown,1,San Francisco1891,add_actor_normalization
Conservatives,Loser,unmapped,unknown,1,Gatazo1895,add_actor_normalization
Conventionalists,Loser,unmapped,unknown,1,Celaya1915,add_actor_normalization
Costa Rica,Loser,unmapped,unknown,1,San Isidro del General1948,add_actor_normalization
Costa Rica,Winner,unmapped,unknown,1,Santa Rosa de Copan1919,add_actor_normalization
Costa Rican Christian Socialists,Loser,unmapped,unknown,1,Santa Rosa de Copan1955,add_actor_normalization
Costa Rican Leftists,Loser,unmapped,unknown,1,Ochomogo1948,add_actor_normalization
Costa Rican Rebels,Winner,unmapped,unknown,1,San Isidro del General1948,add_actor_normalization
Costa Rican Rebels,Loser,unmapped,unknown,1,Santa Rosa de Copan1919,add_actor_normalization
Croatian Republic of Herzeg Bosnia,Loser,unmapped,unknown,1,Gornji Vakuf1993,add_actor_normalization
Croatian Republic of Herzeg-Bosnia,Loser,unmapped,unknown,1,Jajce1992,add_actor_normalization
Croatian Republic of Herzeg-Bosnia,Participant 2,unmapped,unknown,1,Mostar1994,add_actor_normalization
Croatian Serbs,Winner,unmapped,unknown,1,Vukovar1991,add_actor_normalization
Cuban Anticommunist Rebels,Loser,unmapped,unknown,1,Bay of Pigs1961,add_actor_normalization
Cuban Government,Loser,unmapped,unknown,1,Sierra Maestra1958,add_actor_normalization
Cuban Revolutionaries,Loser,unmapped,unknown,1,Iguara1895,add_actor_normalization
Cyprus,Loser,unmapped,unknown,1,Kyrenia1974,add_actor_normalization
Czech Legion,Winner,unmapped,unknown,1,Kazan1918,add_actor_normalization
Czech Legion,Loser,unmapped,unknown,1,Samara1918,add_actor_normalization
Dagomba Tribesmen,Loser,unmapped,unknown,1,Adibo1896,add_actor_normalization
Dagomba Tribesmen,Participant 2,unmapped,unknown,1,Adibo1896,add_actor_normalization
Dawi Mani Tribesmen,Winner,unmapped,unknown,1,El Moungar1903,add_actor_normalization
Democratic Republic of Yemen,Loser,unmapped,unknown,1,Aden1994,add_actor_normalization
Dominican Conservatives,Winner,unmapped,unknown,1,Santo Domingo1965,add_actor_normalization
Dominican Leftists,Loser,unmapped,unknown,1,Santo Domingo1965,add_actor_normalization
Duke of Coimbra,Loser,unmapped,unknown,1,Alfarrobeira1986,add_actor_normalization
Emirate of Bokhara,Loser,unmapped,unknown,1,Bokhara1920,add_actor_normalization
Emirate of Ilorin,Loser,unmapped,unknown,1,Ilorin1897,add_actor_normalization
Emirate of Kano,Loser,unmapped,unknown,1,Kano1903,add_actor_normalization
Emirate of Nupe,Loser,unmapped,unknown,1,Bida1897,add_actor_normalization
Eritrean Rebels,Loser,unmapped,unknown,1,Massawa1977,add_actor_normalization
Escobar Rebels,Loser,unmapped,unknown,1,Jimenez1929,add_actor_normalization
Estonians,Loser,unmapped,unknown,1,Petrograd1919,add_actor_normalization
Ethiopian Rebels,Winner,unmapped,unknown,1,Addis Ababa1991,add_actor_normalization
Ethiopian Rebels,Participant 1,unmapped,unknown,1,Addis Ababa1991,add_actor_normalization
Fengtian,Loser,unmapped,unknown,1,Changxindian1922,add_actor_normalization
Filipino Rebels,Loser,unmapped,unknown,1,San Juan del Monte1896,add_actor_normalization
Finnish Anti-Communists,Loser,unmapped,unknown,1,Porvoo1918,add_actor_normalization
Finnish Communists,Loser,unmapped,unknown,1,Helsinki1918,add_actor_normalization
Finnish Communists,Winner,unmapped,unknown,1,Porvoo1918,add_actor_normalization
Finnish Reds,Winner,unmapped,unknown,1,Sigurds1918,add_actor_normalization
Finnish Reds,Loser,unmapped,unknown,1,Tampere1918,add_actor_normalization
Finnish Whites,Participant 1,mapped_internal,faction,1,Aland1918,check_internal_mapping
Finnish Whites,Loser,mapped_internal,faction,1,Sigurds1918,check_internal_mapping
former       President Terencio Sierra,Loser,unmapped,unknown,1,Nacaome1903,add_actor_normalization
Free French,Loser,unmapped,unknown,1,Bir Hacheim1942,add_actor_normalization
Fulani Empire,Loser,unmapped,unknown,1,Burmi1903,add_actor_normalization
Fulani Sultanate,Loser,unmapped,unknown,1,Sokoto1903,add_actor_normalization
General Jose Manuel Hernandez,Winner,unmapped,unknown,1,Mata Carmelera1898,add_actor_normalization
General Vincente Tosta,Participant 2,unmapped,unknown,1,San Pedro Sula1919,add_actor_normalization
General Yang Zhigong,Loser,unmapped,unknown,1,Luoyang1927,add_actor_normalization
General Ye Kaixin,Loser,unmapped,unknown,1,Changsha1926,add_actor_normalization
German volunteers,Loser,unmapped,unknown,1,Riga (2nd)1919,add_actor_normalization
Greek Communist Rebels,Participant 2,mapped_internal,faction,1,Grammos1948,check_internal_mapping
Greek Communists,Winner,mapped_internal,faction,1,Naoussa1946,check_internal_mapping
Greek Government,Participant 1,mapped_internal,faction,1,Grammos1948,check_internal_mapping
Grenada,Loser,unmapped,unknown,1,Grenada1983,add_actor_normalization
Guatemala,Winner,unmapped,unknown,1,El Jicaro1906,add_actor_normalization
Gulbudin Hekmatyar,Loser,unmapped,unknown,1,Kabul1996,add_actor_normalization
Guo Songling,Loser,unmapped,unknown,1,Xinmintun1925,add_actor_normalization
Habibullah Kalakani,Loser,unmapped,unknown,1,Kabul1929,add_actor_normalization
Habibullah Khan,Loser,unmapped,unknown,1,Charasia1929,add_actor_normalization
Habsburg Royalists,Loser,unmapped,unknown,1,Budapest1921,add_actor_normalization
Hafizullah Amin,Loser,unmapped,unknown,1,Kabul1979,add_actor_normalization
Hehe Rebels,Loser,unmapped,unknown,1,Iringa1894,add_actor_normalization
Hehe Tribe,Winner,unmapped,unknown,1,Lugalo1891,add_actor_normalization
Herero Rebels,Winner,unmapped,unknown,1,Freyers Farm1904,add_actor_normalization
Herero Tribes,Loser,unmapped,unknown,1,Onganjira1904,add_actor_normalization
Hereros,Winner,unmapped,unknown,1,Oviumbo1904,add_actor_normalization
Hereros,Loser,unmapped,unknown,1,Owikokorero1904,add_actor_normalization
Honduran Rebels,Loser,unmapped,unknown,1,Choluteca1894,add_actor_normalization
Ijebu,Loser,unmapped,unknown,1,Yemoji1892,add_actor_normalization
Ikhwan Brotherhood,Loser,unmapped,unknown,1,Sabalah1929,add_actor_normalization
Ikhwan Rebels,Loser,unmapped,unknown,1,Umm Urdhumah1929,add_actor_normalization
Indian protestors,Loser,unmapped,unknown,1,Amritsar1919,add_actor_normalization
International Brigades,Participant 2,unmapped,unknown,1,"Guadalajara, Spain1937",add_actor_normalization
International Mercenaries,Winner,unmapped,unknown,1,Stanleyville1964,add_actor_normalization
Iranian Monarchists,Loser,unmapped,unknown,1,Qom1911,add_actor_normalization
Iranian Nationalists,Winner,unmapped,unknown,1,Qom1911,add_actor_normalization
Iraqi Insurgents,Winner,unmapped,unknown,1,Rustumiyah1920,add_actor_normalization
Iraqi Irregulars,Loser,unmapped,unknown,1,Safad1948,add_actor_normalization
Irish Rebels,Winner,unmapped,unknown,1,Rineen1920,add_actor_normalization
Irish Republican Rebels,Loser,unmapped,unknown,1,Beal na mBlath1922,add_actor_normalization
Isaaq Rebels,Winner,unmapped,unknown,1,Hargeisa1988,add_actor_normalization
Ishaq Khan,Loser,unmapped,unknown,1,Ghaznigak1888,add_actor_normalization
Kashmiri Insurgents,Loser,unmapped,unknown,1,Haji Pir1965,add_actor_normalization
Kashmiri Insurgents,Winner,unmapped,unknown,1,Skardu1948,add_actor_normalization
Kashmiri Muslim Rebels,Winner,unmapped,unknown,1,Uri1947,add_actor_normalization
Kashmiri Muslims,Loser,unmapped,unknown,1,Shalateng1947,add_actor_normalization
Kashmiri Tribesmen,Loser,unmapped,unknown,1,Naushera1948,add_actor_normalization
Katanga,Loser,unmapped,unknown,1,Elizabethville1961,add_actor_normalization
Katipunero Rebels,Loser,unmapped,unknown,1,"San Mateo, Philippines1896",add_actor_normalization
Khmer Rouge,Winner,unmapped,unknown,1,Phnom Penh1975,add_actor_normalization
Khmer Rouge,Loser,unmapped,unknown,1,Phnom Penh1979,add_actor_normalization
Kingdom of Benin,Loser,unmapped,unknown,1,Benin1897,add_actor_normalization
Kosovar Albanian Rebels,Winner,unmapped,unknown,1,Kossovo1999,add_actor_normalization
Kurdish Rebels,Winner,unmapped,unknown,1,Panjwin1983,add_actor_normalization
Kuwait,Winner,unmapped,unknown,1,Jahrah1920,add_actor_normalization
Lao Rebels,Loser,unmapped,unknown,1,Thakhek1946,add_actor_normalization
Laos,Loser,unmapped,unknown,1,Muong-Khoua1953,add_actor_normalization
Laotian Anti-Communists,Loser,unmapped,unknown,1,Sala Phou Khoun1975,add_actor_normalization
Laotian Neutralists,Loser,unmapped,unknown,1,Vientiane1960,add_actor_normalization
Laotian Rightists,Loser,unmapped,unknown,1,Nam Tha1962,add_actor_normalization
Laotian Rightists,Winner,unmapped,unknown,1,Vientiane1960,add_actor_normalization
Lebanese Christian Militia,Winner,unmapped,unknown,1,Zahle1981,add_actor_normalization
Lebanese Christian Militias,Winner,unmapped,unknown,1,Tel-el-Zataar1976,add_actor_normalization
Li Jinglin,Loser,unmapped,unknown,1,Tianjin1925,add_actor_normalization
Liberals,Winner,unmapped,unknown,1,Gatazo1895,add_actor_normalization
Liberating Revolution' Rebels,Loser,unmapped,unknown,1,La Victoria1902,add_actor_normalization
Lithuania,Winner,unmapped,unknown,1,Memel1923,add_actor_normalization
Lithuanian-Byelorussian Rebels,Winner,unmapped,unknown,1,Vilna1920,add_actor_normalization
Lu Zhonglin,Loser,unmapped,unknown,1,Tianjin1926,add_actor_normalization
Mahdiyya,Loser,unmapped,unknown,1,Dufile1888,add_actor_normalization
Mahsud Tribesmen,Loser,unmapped,unknown,1,Ahnai Tangi1920,add_actor_normalization
Malagasy Rebels,Loser,unmapped,unknown,1,Moramanga1947,add_actor_normalization
Manchukuo,Winner,unmapped,unknown,1,Harbin1932,add_actor_normalization
Manchuria,Winner,unmapped,unknown,1,Shanhaiguan1924,add_actor_normalization
Mandingos,Loser,unmapped,unknown,1,Guelemou1898,add_actor_normalization
Matabeleland,Winner,unmapped,unknown,1,Shangani Incident1893,add_actor_normalization
Mau Mau,Winner,unmapped,unknown,1,"Aberdare, Kenya1955(2nd)",add_actor_normalization
Mau Mau,Participant 1,unmapped,unknown,1,"Aberdare, Kenya1955(2nd)",add_actor_normalization
Mau Mau Rebels,Participant 2,unmapped,unknown,1,"Aberdare, Kenya1955",add_actor_normalization
Mau Mau Rebels,Loser,unmapped,unknown,1,Mount Kenya1955,add_actor_normalization
Mauritania,Winner,unmapped,unknown,1,Nouakchott1976,add_actor_normalization
Mauritania,Loser,unmapped,unknown,1,Zouerate1977,add_actor_normalization
Mbumba Rebels,Loser,unmapped,unknown,1,Kolwezi1978,add_actor_normalization
Mbunga,Loser,unmapped,unknown,1,Mahenge1905,add_actor_normalization
Mohmand Tribesmen,Loser,unmapped,unknown,1,Shabkadr1897,add_actor_normalization
Mongolian Nationalists,Winner,unmapped,unknown,1,Kiatkha1921,add_actor_normalization
Montenegro,Loser,unmapped,unknown,1,Mojkovac1916,add_actor_normalization
Moroccan Berbers,Loser,unmapped,unknown,1,Timimoun1901,add_actor_normalization
